Code,Temperature,Damage,Species,Genotype
28,4,0,SPIC,124-2005 C
28,4,0,SPIC,124-2005 C
29,-80,1,SPIC,603-2008 A
29,-80,1,SPIC,603-2008 A
29,-80,1,SPIC,603-2008 A
29,-40,1,SPIC,603-2008 A
29,-40,1,SPIC,603-2008 A
29,-40,1,SPIC,603-2008 A
29,-30,0,SPIC,603-2008 A
29,-30,0.75,SPIC,603-2008 A
29,-30,1,SPIC,603-2008 A
29,-20,0,SPIC,603-2008 A
29,-20,0,SPIC,603-2008 A
29,-20,0.5,SPIC,603-2008 A
29,-10,0,SPIC,603-2008 A
29,-10,0,SPIC,603-2008 A
29,-10,0.25,SPIC,603-2008 A
29,4,0,SPIC,603-2008 A
29,4,0,SPIC,603-2008 A
29,4,0,SPIC,603-2008 A
30,-80,1,SPIC,270-2010 A
30,-80,1,SPIC,270-2010 A
30,-80,1,SPIC,270-2010 A
30,-40,1,SPIC,270-2010 A
30,-40,1,SPIC,270-2010 A
30,-40,0.75,SPIC,270-2010 A
30,-30,0.75,SPIC,270-2010 A
30,-30,0.75,SPIC,270-2010 A
30,-30,0.75,SPIC,270-2010 A
30,-20,0,SPIC,270-2010 A
30,-20,0,SPIC,270-2010 A
30,-20,0,SPIC,270-2010 A
30,-10,0,SPIC,270-2010 A
30,-10,0,SPIC,270-2010 A
30,-10,0,SPIC,270-2010 A
30,4,0,SPIC,270-2010 A
30,4,0,SPIC,270-2010 A
30,4,0,SPIC,270-2010 A
31,-80,1,TATA,1115-76 A
31,-80,1,TATA,1115-76 A
31,-80,1,TATA,1115-76 A
31,-40,1,TATA,1115-76 A
31,-40,1,TATA,1115-76 A
31,-40,1,TATA,1115-76 A
31,-30,1,TATA,1115-76 A
31,-30,1,TATA,1115-76 A
31,-30,1,TATA,1115-76 A
31,-20,0.5,TATA,1115-76 A
31,-20,0.75,TATA,1115-76 A
31,-20,1,TATA,1115-76 A
31,-10,0,TATA,1115-76 A
31,-10,0,TATA,1115-76 A
31,-10,0,TATA,1115-76 A
31,4,0,TATA,1115-76 A
31,4,0,TATA,1115-76 A
31,4,0,TATA,1115-76 A
32,-80,1,TATA,115-2000 A
32,-80,1,TATA,115-2000 A
32,-80,1,TATA,115-2000 A
32,-40,1,TATA,115-2000 A
32,-40,1,TATA,115-2000 A
32,-40,1,TATA,115-2000 A
32,-30,0.5,TATA,115-2000 A
32,-30,0.5,TATA,115-2000 A
32,-30,0.25,TATA,115-2000 A
32,-20,0.5,TATA,115-2000 A
32,-20,0.5,TATA,115-2000 A
32,-20,0.25,TATA,115-2000 A
32,-10,0,TATA,115-2000 A
32,-10,0,TATA,115-2000 A
32,-10,0,TATA,115-2000 A
32,4,0,TATA,115-2000 A
32,4,0,TATA,115-2000 A
32,4,0,TATA,115-2000 A
33,-80,1,TATA,78-2000 B
33,-80,1,TATA,78-2000 B
33,-80,1,TATA,78-2000 B
33,-40,1,TATA,78-2000 B
33,-40,1,TATA,78-2000 B
33,-40,1,TATA,78-2000 B
33,-30,1,TATA,78-2000 B
33,-30,1,TATA,78-2000 B
33,-30,1,TATA,78-2000 B
33,-20,1,TATA,78-2000 B
33,-20,1,TATA,78-2000 B
33,-20,1,TATA,78-2000 B
33,-10,0,TATA,78-2000 B
33,-10,0,TATA,78-2000 B
33,-10,0.5,TATA,78-2000 B
33,4,0,TATA,78-2000 B
33,4,0,TATA,78-2000 B
33,4,0,TATA,78-2000 B
34,-80,1,TEGM,33-95 B
34,-80,1,TEGM,33-95 B
34,-80,1,TEGM,33-95 B
34,-40,1,TEGM,33-95 B
34,-40,1,TEGM,33-95 B
34,-40,1,TEGM,33-95 B
34,-30,0.75,TEGM,33-95 B
34,-30,1,TEGM,33-95 B
34,-30,1,TEGM,33-95 B
34,-20,1,TEGM,33-95 B
34,-20,1,TEGM,33-95 B
34,-20,0.5,TEGM,33-95 B
34,-10,0.25,TEGM,33-95 B
34,-10,0.25,TEGM,33-95 B
34,-10,0,TEGM,33-95 B
34,4,0,TEGM,33-95 B
34,4,0,TEGM,33-95 B
34,4,0,TEGM,33-95 B
35,-80,1,TEGM,1400-77 E
35,-80,1,TEGM,1400-77 E
35,-80,1,TEGM,1400-77 E
35,-40,1,TEGM,1400-77 E
35,-40,1,TEGM,1400-77 E
35,-40,1,TEGM,1400-77 E
35,-30,0.75,TEGM,1400-77 E
35,-30,1,TEGM,1400-77 E
35,-30,0.5,TEGM,1400-77 E
35,-20,1,TEGM,1400-77 E
35,-20,1,TEGM,1400-77 E
35,-20,0.25,TEGM,1400-77 E
35,-10,0.25,TEGM,1400-77 E
35,-10,0.25,TEGM,1400-77 E
35,-10,0,TEGM,1400-77 E
35,4,0,TEGM,1400-77 E
